

DIRECTORY,g_total,g_solved,g_sat,g_unsat,g_unknown,g_time,g_mem,g_err,time_cpu,memory
cvc4_master4,1474,1469,15,1454,4,1,0,0,11988.9,15731.7
cvc4_bags4,1474,1260,10,1250,185,28,1,0,53597.8,122084.5



DIRECTORY,cvc4_master4,cvc4_bags4
benchmark,status,result,exit_code,time_cpu,memory,status,result,exit_code,time_cpu,memory
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_insert_check_heap_access_38_4.smt2,ok,20,0,0.03,14.3,ok,20,0,0.09,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_insert_invariant_24_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_insert_loop_check_heap_access_28_6.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_insert_loop_invariant_30_5.smt2,ok,20,0,1.29,26.4,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_insert_postcondition_of_dl_insert_17_4.smt2,ok,20,0,0.03,16.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_insert_postcondition_of_dl_insert_39_4.smt2,ok,20,0,4.1,34.1,ok,20,0,0.08,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_insert_postcondition_of_dl_insert_40_3.smt2,ok,20,0,0.01,2.2,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_remove_check_free_18_4.smt2,ok,20,0,0.0,2.3,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_remove_check_free_49_4.smt2,ok,20,0,0.09,20.5,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_remove_check_heap_access_38_4.smt2,ok,20,0,0.05,17.8,ok,20,0,0.0,3.6
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_remove_check_heap_access_40_6.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_remove_check_heap_access_40_6_1.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_remove_check_heap_access_45_6.smt2,ok,20,0,0.04,14.6,ok,20,0,0.0,2.5
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_remove_invariant_27_4.smt2,ok,20,0,0.02,16.3,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_remove_loop_check_heap_access_33_6.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_remove_loop_invariant_35_5.smt2,ok,20,0,1.31,26.2,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_remove_postcondition_of_dl_remove_16_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_remove_postcondition_of_dl_remove_19_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_remove_postcondition_of_dl_remove_50_4.smt2,ok,20,0,2.39,29.3,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_remove_postcondition_of_dl_remove_51_3.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_reverse_invariant_18_2.smt2,ok,20,0,0.0,3.6,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_reverse_loop_check_heap_access_24_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_reverse_loop_check_heap_access_25_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_reverse_loop_check_heap_access_27_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_reverse_loop_invariant_28_3.smt2,ok,20,0,0.8,23.4,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_reverse_postcondition_of_dl_reverse_29_1.smt2,ok,20,0,1.05,27.1,ok,20,0,0.1,22.7
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_traverse_invariant_18_2.smt2,ok,20,0,0.02,16.9,ok,20,0,0.0,0.0
