

DIRECTORY,g_total,g_solved,g_sat,g_unsat,g_unknown,g_time,g_mem,g_err,time_cpu,memory
cvc4_master,1982,1762,1,1761,8,2,0,210,13492.7,18026.2
cvc4_bags,1982,1559,0,1559,188,24,1,210,46842.8,114697.8



DIRECTORY,cvc4_master,cvc4_bags
benchmark,status,result,exit_code,time_cpu,memory,status,result,exit_code,time_cpu,memory
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_concat_check_heap_access_24_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_concat_postcondition_of_dl_concat_19_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_concat_postcondition_of_dl_concat_21_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_concat_postcondition_of_dl_concat_25_4.smt2,ok,20,0,0.89,25.0,ok,20,0,1.09,26.1
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_concat_postcondition_of_dl_concat_26_3.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_copy_invariant_19_2.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_copy_loop_check_heap_access_28_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_copy_loop_check_heap_access_29_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_copy_loop_check_heap_access_31_6.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_copy_loop_check_heap_access_35_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.1,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_copy_loop_invariant_36_3.smt2,ok,20,0,52.29,80.4,ok,20,0,81.27,92.5
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_copy_postcondition_of_dl_copy_37_1.smt2,ok,20,0,0.29,29.0,ok,20,0,0.29,27.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_dispose_invariant_17_2.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_dispose_loop_check_free_22_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_dispose_loop_check_heap_access_21_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_dispose_loop_invariant_23_3.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_dispose_postcondition_of_dl_dispose_24_1.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_filter_invariant_19_2.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_filter_loop_check_free_36_6.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_filter_loop_check_heap_access_24_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_filter_loop_check_heap_access_27_8.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_filter_loop_check_heap_access_32_8.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_filter_loop_invariant_40_3.smt2,ok,20,0,2.59,32.3,ok,20,0,2.19,32.6
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_filter_postcondition_of_dl_filter_41_1.smt2,ok,20,0,0.7,29.0,ok,20,0,0.59,28.2
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_insert_check_heap_access_16_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/dl_insert_check_heap_access_31_4.smt2,ok,20,0,0.1,19.4,ok,20,0,0.09,19.7
